User_ID,Session_Length_Minutes,Time_of_Day,Lesson_Completed,Difficulty_Level,Notifications_Received,Interacted_With_Feature,Subscription_Status,Rating,Country,Device_Type,Churned,Session_Date
user_879,1.03,Afternoon,0,Beginner,1,No,Free,1.0,Australia,Desktop,0,2024-01-02 14:00:00
user_591,4.69,Evening,0,Advanced,1,Yes,Free,1.0,Australia,Mobile,0,2024-01-02 15:00:00
user_575,8.81,Night,0,Beginner,1,Yes,Premium,4.0,India,Mobile,0,2024-01-02 16:00:00
user_195,32.49,Night,0,Beginner,0,Yes,Free,5.0,USA,Desktop,0,2024-01-02 17:00:00
user_969,0.74,Afternoon,1,Beginner,1,Yes,Free,5.0,UK,Tablet,0,2024-01-02 18:00:00
user_379,20.99,Evening,1,Beginner,0,No,Premium,3.0,Brazil,Tablet,0,2024-01-02 19:00:00
user_983,5.32,Afternoon,1,Beginner,2,No,Premium,3.0,India,Desktop,0,2024-01-02 20:00:00
user_924,23.28,Evening,1,Beginner,1,Yes,Premium,2.0,Brazil,Tablet,0,2024-01-02 21:00:00
user_672,3.85,Night,1,Intermediate,1,Yes,Free,5.0,USA,Desktop,0,2024-01-02 22:00:00
user_368,13.96,Evening,1,Beginner,1,Yes,Free,5.0,Canada,Tablet,0,2024-01-02 23:00:00
user_480,4.32,Morning,0,Intermediate,1,Yes,Free,2.0,Australia,Tablet,0,2024-01-03 00:00:00
user_870,17.25,Evening,0,Beginner,2,No,Premium,3.0,India,Desktop,0,2024-01-03 01:00:00
user_341,14.0,Afternoon,0,Intermediate,1,No,Free,4.0,USA,Desktop,0,2024-01-03 02:00:00
user_905,0.11,Afternoon,0,Beginner,0,No,Free,5.0,Canada,Desktop,1,2024-01-03 03:00:00
user_26,32.75,Afternoon,0,Advanced,0,No,Free,3.0,Canada,Tablet,0,2024-01-03 04:00:00
user_178,0.44,Evening,0,Advanced,0,Yes,Premium,5.0,USA,Desktop,1,2024-01-03 05:00:00
user_441,9.93,Evening,0,Intermediate,2,Yes,Premium,5.0,Germany,Desktop,0,2024-01-03 06:00:00
user_99,6.08,Evening,0,Beginner,1,Yes,Free,3.0,Brazil,Mobile,0,2024-01-03 07:00:00
user_183,42.84,Evening,0,Beginner,2,No,Premium,3.0,Australia,Tablet,0,2024-01-03 08:00:00
user_757,12.94,Evening,0,Advanced,1,Yes,Free,5.0,UK,Tablet,0,2024-01-03 09:00:00
user_982,43.64,Morning,0,Beginner,3,Yes,Free,2.0,Brazil,Mobile,0,2024-01-03 10:00:00
user_554,20.0,Evening,1,Advanced,3,Yes,Free,3.0,Germany,Desktop,0,2024-01-03 11:00:00
user_287,30.8,Evening,0,Intermediate,1,Yes,Free,5.0,UK,Mobile,0,2024-01-03 12:00:00
user_20,14.8,Evening,1,Intermediate,2,Yes,Free,5.0,USA,Tablet,0,2024-01-03 13:00:00
user_306,9.68,Evening,0,Beginner,0,Yes,Free,4.0,Brazil,Tablet,0,2024-01-03 14:00:00
user_208,5.75,Night,0,Intermediate,1,No,Premium,3.0,USA,Tablet,0,2024-01-03 15:00:00
user_901,1.59,Night,0,Beginner,2,Yes,Free,4.0,UK,Mobile,0,2024-01-03 16:00:00
user_776,0.79,Morning,0,Beginner,0,No,Free,4.0,Brazil,Desktop,1,2024-01-03 17:00:00
user_530,22.71,Afternoon,1,Beginner,0,Yes,Free,4.0,UK,Mobile,0,2024-01-03 18:00:00
user_665,1.95,Morning,0,Beginner,0,Yes,Free,5.0,USA,Desktop,1,2024-01-03 19:00:00
user_33,0.4,Evening,1,Beginner,2,Yes,Premium,5.0,Germany,Tablet,0,2024-01-03 20:00:00
user_351,2.04,Afternoon,0,Beginner,1,Yes,Free,1.0,Germany,Mobile,0,2024-01-03 21:00:00
user_585,2.91,Evening,1,Intermediate,1,Yes,Free,4.0,India,Desktop,0,2024-01-03 22:00:00
user_77,3.14,Afternoon,0,Beginner,0,Yes,Free,5.0,USA,Tablet,1,2024-01-03 23:00:00
user_256,9.0,Evening,1,Beginner,0,Yes,Free,5.0,UK,Mobile,0,2024-01-04 00:00:00
user_914,5.65,Morning,0,Beginner,2,No,Free,4.0,USA,Tablet,0,2024-01-04 01:00:00
user_831,1.07,Morning,0,Beginner,0,Yes,Free,5.0,Brazil,Desktop,1,2024-01-04 02:00:00
user_156,0.84,Evening,0,Advanced,0,Yes,Premium,5.0,UK,Tablet,1,2024-01-04 03:00:00
user_40,16.99,Afternoon,0,Intermediate,2,Yes,Premium,3.0,India,Desktop,0,2024-01-04 04:00:00
user_591,3.91,Afternoon,0,Beginner,0,No,Free,5.0,India,Tablet,1,2024-01-04 05:00:00
user_216,1.68,Afternoon,0,Beginner,0,Yes,Free,3.0,USA,Mobile,1,2024-01-04 06:00:00
user_858,3.89,Evening,0,Intermediate,2,Yes,Free,3.0,UK,Tablet,0,2024-01-04 07:00:00
user_919,17.76,Night,0,Intermediate,1,Yes,Free,5.0,Australia,Desktop,0,2024-01-04 08:00:00
user_113,18.44,Morning,1,Beginner,0,Yes,Premium,5.0,Australia,Desktop,0,2024-01-04 09:00:00
user_969,7.4,Afternoon,1,Beginner,1,Yes,Free,4.0,India,Mobile,0,2024-01-04 10:00:00
user_562,13.77,Evening,0,Advanced,1,No,Free,3.0,Brazil,Tablet,0,2024-01-04 11:00:00
user_979,28.11,Evening,0,Beginner,2,No,Premium,3.0,Brazil,Mobile,0,2024-01-04 12:00:00
user_285,3.74,Afternoon,1,Beginner,3,No,Free,5.0,USA,Mobile,0,2024-01-04 13:00:00
user_376,1.36,Afternoon,1,Beginner,0,No,Free,5.0,Australia,Desktop,0,2024-01-04 14:00:00
user_246,11.84,Evening,0,Beginner,0,No,Free,4.0,UK,Mobile,0,2024-01-04 15:00:00
user_695,6.2,Night,0,Intermediate,1,Yes,Premium,3.0,Canada,Desktop,0,2024-01-04 16:00:00
user_589,8.33,Evening,1,Intermediate,0,Yes,Free,4.0,India,Tablet,0,2024-01-04 17:00:00
user_239,13.33,Night,1,Beginner,0,No,Premium,3.0,USA,Tablet,0,2024-01-04 18:00:00
user_801,25.36,Evening,0,Intermediate,1,Yes,Premium,1.0,Brazil,Tablet,0,2024-01-04 19:00:00
user_291,4.06,Afternoon,0,Advanced,0,Yes,Free,4.0,Australia,Tablet,1,2024-01-04 20:00:00
user_551,2.54,Afternoon,0,Beginner,1,No,Free,5.0,Germany,Mobile,0,2024-01-04 21:00:00
user_19,10.0,Morning,1,Beginner,1,Yes,Free,3.0,Brazil,Mobile,0,2024-01-04 22:00:00
user_545,6.98,Evening,0,Intermediate,0,No,Free,3.0,India,Tablet,0,2024-01-04 23:00:00
user_51,0.37,Afternoon,0,Beginner,1,Yes,Free,4.0,Canada,Mobile,0,2024-01-05 00:00:00
user_847,8.2,Morning,0,Advanced,1,Yes,Free,4.0,Brazil,Desktop,0,2024-01-05 01:00:00
user_965,0.26,Morning,1,Intermediate,0,Yes,Free,5.0,Canada,Tablet,0,2024-01-05 02:00:00
user_418,0.2,Morning,1,Beginner,1,Yes,Free,5.0,Germany,Tablet,0,2024-01-05 03:00:00
user_569,19.36,Evening,0,Intermediate,0,Yes,Premium,1.0,UK,Tablet,0,2024-01-05 04:00:00
user_468,0.89,Afternoon,0,Beginner,1,No,Premium,4.0,Germany,Tablet,0,2024-01-05 05:00:00
user_231,3.0,Afternoon,0,Beginner,1,Yes,Free,4.0,Brazil,Desktop,0,2024-01-05 06:00:00
user_183,29.65,Evening,0,Advanced,2,Yes,Free,4.0,Canada,Tablet,0,2024-01-05 07:00:00
user_265,7.8,Evening,0,Beginner,3,Yes,Free,3.0,India,Desktop,0,2024-01-05 08:00:00
user_755,1.25,Evening,0,Intermediate,2,Yes,Free,3.0,Australia,Mobile,0,2024-01-05 09:00:00
user_699,20.71,Evening,1,Intermediate,0,No,Free,4.0,Brazil,Mobile,0,2024-01-05 10:00:00
user_456,7.32,Morning,0,Intermediate,0,No,Free,4.0,India,Tablet,0,2024-01-05 11:00:00
user_1,3.41,Afternoon,1,Beginner,1,No,Premium,5.0,UK,Mobile,0,2024-01-05 12:00:00
user_306,2.42,Morning,0,Intermediate,0,Yes,Free,4.0,Brazil,Desktop,1,2024-01-05 13:00:00
user_108,14.74,Morning,0,Intermediate,1,Yes,Free,5.0,Germany,Mobile,0,2024-01-05 14:00:00
user_776,16.07,Evening,0,Intermediate,0,Yes,Premium,3.0,India,Mobile,0,2024-01-05 15:00:00
user_5,30.0,Afternoon,0,Intermediate,3,No,Premium,4.0,Canada,Desktop,0,2024-01-05 16:00:00
user_85,6.72,Afternoon,1,Advanced,0,No,Premium,3.0,Germany,Desktop,0,2024-01-05 17:00:00
user_582,8.39,Night,0,Intermediate,0,No,Premium,3.0,Australia,Tablet,0,2024-01-05 18:00:00
user_216,6.43,Evening,1,Beginner,1,Yes,Free,3.0,Germany,Desktop,0,2024-01-05 19:00:00
user_461,0.8,Evening,0,Intermediate,0,Yes,Free,5.0,Brazil,Mobile,1,2024-01-05 20:00:00
user_859,3.84,Evening,1,Intermediate,0,Yes,Premium,1.0,UK,Mobile,0,2024-01-05 21:00:00
user_2,20.77,Evening,1,Intermediate,1,No,Free,4.0,UK,Mobile,0,2024-01-05 22:00:00
user_674,9.88,Evening,1,Intermediate,1,No,Free,3.0,USA,Desktop,0,2024-01-05 23:00:00
user_211,4.38,Afternoon,0,Beginner,0,Yes,Premium,4.0,Germany,Mobile,1,2024-01-06 00:00:00
user_568,4.85,Evening,0,Advanced,1,Yes,Premium,3.0,Australia,Desktop,0,2024-01-06 01:00:00
user_958,6.3,Evening,0,Advanced,0,No,Free,5.0,Brazil,Mobile,0,2024-01-06 02:00:00
user_197,7.19,Afternoon,0,Beginner,0,No,Free,2.0,Brazil,Mobile,0,2024-01-06 03:00:00
user_622,34.77,Evening,1,Advanced,0,Yes,Premium,5.0,Germany,Tablet,0,2024-01-06 04:00:00
user_96,1.67,Evening,0,Beginner,1,Yes,Free,5.0,UK,Mobile,0,2024-01-06 05:00:00
user_337,3.09,Morning,1,Advanced,3,Yes,Free,4.0,USA,Desktop,0,2024-01-06 06:00:00
user_202,3.01,Evening,0,Beginner,0,No,Free,5.0,Australia,Tablet,1,2024-01-06 07:00:00
user_288,6.83,Afternoon,0,Intermediate,0,No,Free,4.0,Canada,Mobile,0,2024-01-06 08:00:00
user_804,21.09,Evening,1,Advanced,3,No,Free,5.0,Canada,Mobile,0,2024-01-06 09:00:00
user_893,1.73,Evening,1,Beginner,1,Yes,Free,3.0,Brazil,Mobile,0,2024-01-06 10:00:00
user_680,17.04,Evening,0,Beginner,0,No,Premium,5.0,Brazil,Desktop,0,2024-01-06 11:00:00
user_713,3.01,Evening,0,Intermediate,0,No,Free,3.0,UK,Mobile,1,2024-01-06 12:00:00
user_64,4.18,Evening,1,Beginner,2,Yes,Free,2.0,Canada,Mobile,0,2024-01-06 13:00:00
user_694,8.73,Afternoon,1,Beginner,4,No,Free,1.0,Australia,Mobile,0,2024-01-06 14:00:00
user_945,3.91,Afternoon,1,Intermediate,1,No,Free,4.0,USA,Tablet,0,2024-01-06 15:00:00
user_891,1.79,Evening,1,Beginner,0,No,Free,4.0,Canada,Desktop,0,2024-01-06 16:00:00
user_33,30.13,Morning,0,Advanced,1,Yes,Free,3.0,Brazil,Mobile,0,2024-01-06 17:00:00
user_762,5.27,Evening,0,Beginner,0,No,Free,5.0,USA,Tablet,0,2024-01-06 18:00:00
user_154,6.41,Night,0,Advanced,4,Yes,Free,3.0,Australia,Mobile,0,2024-01-06 19:00:00
user_488,9.59,Evening,0,Beginner,0,No,Free,4.0,Brazil,Desktop,0,2024-01-06 20:00:00
user_645,6.76,Morning,0,Beginner,1,Yes,Free,2.0,Canada,Mobile,0,2024-01-06 21:00:00
user_200,4.98,Afternoon,1,Beginner,3,Yes,Free,4.0,Germany,Mobile,0,2024-01-06 22:00:00
user_730,43.17,Morning,0,Intermediate,2,Yes,Free,2.0,USA,Mobile,0,2024-01-06 23:00:00
user_454,4.32,Morning,0,Beginner,0,Yes,Free,5.0,UK,Mobile,1,2024-01-07 00:00:00
user_507,2.23,Morning,0,Intermediate,1,No,Free,5.0,UK,Mobile,0,2024-01-07 01:00:00
user_897,12.35,Evening,1,Intermediate,0,No,Free,5.0,Germany,Tablet,0,2024-01-07 02:00:00
user_759,7.93,Evening,0,Intermediate,2,Yes,Free,3.0,Germany,Mobile,0,2024-01-07 03:00:00
user_31,20.54,Afternoon,1,Beginner,0,No,Free,4.0,Australia,Desktop,0,2024-01-07 04:00:00
user_592,8.1,Evening,0,Advanced,2,No,Free,1.0,Germany,Mobile,0,2024-01-07 05:00:00
user_791,2.98,Afternoon,1,Intermediate,1,Yes,Free,3.0,USA,Desktop,0,2024-01-07 06:00:00
user_167,0.41,Evening,0,Beginner,1,No,Premium,4.0,Brazil,Tablet,0,2024-01-07 07:00:00
user_313,3.24,Evening,1,Beginner,2,Yes,Free,3.0,USA,Desktop,0,2024-01-07 08:00:00
user_192,1.98,Afternoon,1,Beginner,2,No,Free,5.0,Germany,Desktop,0,2024-01-07 09:00:00
user_537,4.45,Evening,0,Beginner,1,No,Free,5.0,Canada,Tablet,0,2024-01-07 10:00:00
user_155,1.4,Night,0,Beginner,0,Yes,Free,4.0,USA,Mobile,1,2024-01-07 11:00:00
user_584,17.65,Afternoon,0,Intermediate,1,Yes,Free,5.0,UK,Desktop,0,2024-01-07 12:00:00
user_765,10.9,Afternoon,1,Intermediate,2,Yes,Free,2.0,Brazil,Mobile,0,2024-01-07 13:00:00
user_397,7.58,Night,0,Beginner,2,Yes,Free,3.0,Germany,Desktop,0,2024-01-07 14:00:00
user_391,43.15,Night,0,Advanced,2,Yes,Free,5.0,Germany,Tablet,0,2024-01-07 15:00:00
user_357,1.5,Morning,0,Intermediate,0,No,Premium,2.0,Australia,Tablet,1,2024-01-07 16:00:00
user_26,11.17,Afternoon,1,Beginner,4,No,Premium,5.0,UK,Tablet,0,2024-01-07 17:00:00
user_777,0.31,Night,1,Intermediate,0,No,Free,5.0,UK,Tablet,0,2024-01-07 18:00:00
user_980,1.13,Evening,1,Beginner,2,No,Free,5.0,India,Tablet,0,2024-01-07 19:00:00
user_262,21.08,Afternoon,0,Intermediate,3,No,Free,5.0,Brazil,Tablet,0,2024-01-07 20:00:00
user_576,0.06,Afternoon,0,Beginner,1,Yes,Free,4.0,Brazil,Desktop,0,2024-01-07 21:00:00
user_443,2.58,Morning,1,Intermediate,1,Yes,Premium,5.0,Germany,Tablet,0,2024-01-07 22:00:00
user_863,6.52,Morning,0,Beginner,1,Yes,Free,5.0,India,Desktop,0,2024-01-07 23:00:00
user_271,16.77,Evening,1,Beginner,0,Yes,Free,5.0,Germany,Desktop,0,2024-01-08 00:00:00
user_33,2.79,Night,0,Advanced,0,Yes,Free,4.0,Germany,Tablet,1,2024-01-08 01:00:00
user_219,3.35,Afternoon,1,Intermediate,0,No,Free,4.0,Germany,Tablet,0,2024-01-08 02:00:00
user_137,5.34,Morning,0,Intermediate,0,Yes,Free,3.0,UK,Tablet,0,2024-01-08 03:00:00
user_800,8.38,Afternoon,1,Beginner,2,No,Premium,5.0,India,Desktop,0,2024-01-08 04:00:00
user_341,17.1,Evening,0,Beginner,1,No,Premium,4.0,USA,Desktop,0,2024-01-08 05:00:00
user_125,2.7,Evening,0,Intermediate,1,Yes,Free,4.0,India,Desktop,0,2024-01-08 06:00:00
user_723,8.83,Morning,1,Advanced,0,Yes,Free,5.0,Brazil,Desktop,0,2024-01-08 07:00:00
user_378,9.34,Evening,0,Beginner,1,No,Free,5.0,Brazil,Desktop,0,2024-01-08 08:00:00
user_906,5.18,Afternoon,1,Intermediate,1,Yes,Free,5.0,Australia,Tablet,0,2024-01-08 09:00:00
user_412,3.2,Morning,0,Advanced,0,Yes,Free,4.0,Brazil,Mobile,1,2024-01-08 10:00:00
user_471,0.72,Evening,0,Intermediate,0,Yes,Premium,5.0,Australia,Desktop,1,2024-01-08 11:00:00
user_938,7.61,Afternoon,0,Intermediate,2,No,Free,2.0,Brazil,Tablet,0,2024-01-08 12:00:00
user_908,8.26,Night,0,Intermediate,0,Yes,Free,4.0,Australia,Mobile,0,2024-01-08 13:00:00
user_333,14.11,Afternoon,1,Intermediate,1,Yes,Free,3.0,Australia,Mobile,0,2024-01-08 14:00:00
user_94,26.17,Evening,1,Intermediate,1,No,Free,5.0,Brazil,Desktop,0,2024-01-08 15:00:00
user_934,15.23,Evening,0,Beginner,0,Yes,Free,3.0,Australia,Desktop,0,2024-01-08 16:00:00
user_516,8.07,Afternoon,0,Beginner,1,No,Free,3.0,Germany,Tablet,0,2024-01-08 17:00:00
user_979,19.07,Afternoon,1,Beginner,1,No,Premium,5.0,USA,Tablet,0,2024-01-08 18:00:00
user_168,15.61,Afternoon,0,Beginner,0,No,Free,3.0,USA,Mobile,0,2024-01-08 19:00:00
user_751,10.24,Evening,0,Advanced,2,No,Free,5.0,Brazil,Tablet,0,2024-01-08 20:00:00
user_757,5.09,Morning,0,Beginner,0,Yes,Premium,5.0,UK,Desktop,0,2024-01-08 21:00:00
user_568,33.76,Afternoon,0,Intermediate,1,No,Free,5.0,India,Tablet,0,2024-01-08 22:00:00
user_190,10.5,Morning,0,Intermediate,1,No,Free,5.0,Australia,Mobile,0,2024-01-08 23:00:00
user_26,41.15,Afternoon,0,Beginner,0,Yes,Free,2.0,Australia,Tablet,0,2024-01-09 00:00:00
user_348,7.12,Night,1,Intermediate,0,No,Free,4.0,India,Tablet,0,2024-01-09 01:00:00
user_134,1.4,Evening,0,Beginner,0,Yes,Premium,5.0,Brazil,Desktop,1,2024-01-09 02:00:00
user_7,14.67,Morning,0,Beginner,0,Yes,Premium,3.0,Brazil,Tablet,0,2024-01-09 03:00:00
user_328,7.66,Afternoon,0,Beginner,3,Yes,Free,4.0,Germany,Desktop,0,2024-01-09 04:00:00
user_397,18.6,Morning,0,Beginner,0,No,Free,4.0,Canada,Desktop,0,2024-01-09 05:00:00
user_742,5.02,Afternoon,1,Advanced,2,No,Free,4.0,Australia,Desktop,0,2024-01-09 06:00:00
user_801,18.38,Morning,1,Beginner,3,No,Free,5.0,Australia,Tablet,0,2024-01-09 07:00:00
user_191,1.63,Evening,0,Intermediate,0,Yes,Free,2.0,USA,Tablet,1,2024-01-09 08:00:00
user_679,0.74,Morning,1,Intermediate,0,Yes,Free,5.0,Canada,Mobile,0,2024-01-09 09:00:00
user_741,10.83,Morning,0,Beginner,2,Yes,Free,3.0,Brazil,Desktop,0,2024-01-09 10:00:00
user_126,3.5,Evening,1,Beginner,0,Yes,Free,5.0,Australia,Tablet,0,2024-01-09 11:00:00
user_874,10.33,Evening,0,Advanced,1,No,Free,5.0,Brazil,Desktop,0,2024-01-09 12:00:00
user_15,13.79,Evening,1,Beginner,0,No,Free,4.0,Germany,Desktop,0,2024-01-09 13:00:00
user_856,5.66,Afternoon,1,Advanced,0,Yes,Free,5.0,Brazil,Desktop,0,2024-01-09 14:00:00
user_436,10.38,Afternoon,1,Advanced,2,No,Free,5.0,Canada,Tablet,0,2024-01-09 15:00:00
user_967,13.04,Evening,1,Beginner,3,Yes,Free,5.0,USA,Mobile,0,2024-01-09 16:00:00
user_32,17.03,Afternoon,0,Intermediate,2,Yes,Free,5.0,Canada,Desktop,0,2024-01-09 17:00:00
user_347,11.68,Evening,1,Intermediate,0,Yes,Free,4.0,India,Mobile,0,2024-01-09 18:00:00
user_221,12.96,Night,0,Beginner,1,Yes,Free,5.0,Brazil,Desktop,0,2024-01-09 19:00:00
user_305,2.08,Afternoon,1,Intermediate,0,No,Free,5.0,Canada,Mobile,0,2024-01-09 20:00:00
user_663,2.26,Night,0,Beginner,0,Yes,Premium,3.0,Canada,Tablet,1,2024-01-09 21:00:00
user_736,4.59,Afternoon,1,Advanced,1,Yes,Free,1.0,Germany,Tablet,0,2024-01-09 22:00:00
user_579,9.67,Afternoon,1,Beginner,1,No,Free,5.0,Australia,Mobile,0,2024-01-09 23:00:00
user_382,8.24,Evening,1,Intermediate,1,No,Free,2.0,Australia,Tablet,0,2024-01-10 00:00:00
user_932,0.6,Afternoon,1,Intermediate,2,Yes,Free,4.0,Germany,Desktop,0,2024-01-10 01:00:00
user_570,0.93,Afternoon,0,Intermediate,3,No,Premium,3.0,Germany,Tablet,0,2024-01-10 02:00:00
user_75,5.27,Evening,0,Intermediate,1,Yes,Free,1.0,Canada,Mobile,0,2024-01-10 03:00:00
user_87,0.24,Evening,0,Intermediate,0,No,Free,4.0,Australia,Tablet,1,2024-01-10 04:00:00
user_509,20.61,Evening,0,Intermediate,1,Yes,Free,5.0,USA,Desktop,0,2024-01-10 05:00:00
user_437,6.86,Afternoon,1,Intermediate,0,No,Free,5.0,Germany,Mobile,0,2024-01-10 06:00:00
user_381,10.7,Night,0,Beginner,0,Yes,Free,3.0,USA,Desktop,0,2024-01-10 07:00:00
user_227,2.87,Afternoon,1,Beginner,1,Yes,Free,2.0,Australia,Tablet,0,2024-01-10 08:00:00
user_950,23.69,Morning,0,Beginner,0,No,Free,5.0,Canada,Desktop,0,2024-01-10 09:00:00
user_788,33.08,Evening,1,Beginner,1,No,Premium,4.0,UK,Tablet,0,2024-01-10 10:00:00
user_916,10.62,Morning,0,Beginner,2,Yes,Free,4.0,Germany,Desktop,0,2024-01-10 11:00:00
user_841,2.89,Evening,0,Intermediate,0,No,Free,2.0,Australia,Mobile,1,2024-01-10 12:00:00
user_980,12.3,Evening,0,Beginner,1,No,Premium,5.0,Brazil,Tablet,0,2024-01-10 13:00:00
user_209,6.2,Afternoon,1,Intermediate,0,Yes,Premium,4.0,India,Tablet,0,2024-01-10 14:00:00
user_523,0.53,Evening,0,Beginner,0,Yes,Premium,5.0,UK,Desktop,1,2024-01-10 15:00:00
user_34,2.29,Evening,1,Advanced,0,Yes,Premium,5.0,India,Mobile,0,2024-01-10 16:00:00
user_390,0.28,Morning,0,Advanced,1,Yes,Free,5.0,Canada,Mobile,0,2024-01-10 17:00:00
user_130,4.79,Evening,1,Beginner,1,No,Free,5.0,Brazil,Mobile,0,2024-01-10 18:00:00
user_112,15.99,Afternoon,1,Intermediate,0,No,Premium,4.0,Canada,Tablet,0,2024-01-10 19:00:00
user_394,19.46,Night,0,Advanced,0,Yes,Free,5.0,Australia,Mobile,0,2024-01-10 20:00:00
user_902,10.62,Morning,0,Intermediate,0,No,Premium,5.0,Canada,Tablet,0,2024-01-10 21:00:00
user_173,34.15,Afternoon,1,Intermediate,1,No,Free,3.0,Germany,Tablet,0,2024-01-10 22:00:00
user_370,0.13,Evening,0,Intermediate,1,No,Free,5.0,Canada,Tablet,0,2024-01-10 23:00:00
user_177,17.1,Evening,1,Beginner,2,Yes,Free,5.0,USA,Mobile,0,2024-01-11 00:00:00
user_80,4.08,Morning,1,Intermediate,0,Yes,Free,4.0,UK,Tablet,0,2024-01-11 01:00:00
user_205,5.98,Evening,1,Intermediate,0,No,Free,3.0,USA,Tablet,0,2024-01-11 02:00:00
user_125,10.06,Morning,1,Beginner,1,Yes,Premium,4.0,UK,Tablet,0,2024-01-11 03:00:00
user_81,18.14,Afternoon,1,Intermediate,1,Yes,Free,4.0,Canada,Desktop,0,2024-01-11 04:00:00
user_417,10.59,Night,1,Intermediate,2,No,Free,5.0,UK,Tablet,0,2024-01-11 05:00:00
user_724,1.18,Afternoon,0,Advanced,1,No,Free,4.0,UK,Mobile,0,2024-01-11 06:00:00
